_id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID13500,69,MALE,INNER_CITY,92427.82,YES,4,NO,YES,YES,NO,YES
ID13501,48,FEMALE,RURAL,59732.56,NO,,NO,NO,YES,,YES
ID13502,39,MALE,RURAL,60043.87,YES,,NO,YES,NO,NO,NO
ID13503,37,MALE,RURAL,70122.03,,3,YES,NO,NO,,NO
ID13504,18,MALE,INNER_CITY,21972.1,YES,1,NO,NO,NO,YES,NO
ID13505,23,MALE,INNER_CITY,68265.28,NO,0,YES,YES,NO,NO,NO
ID13506,34,MALE,TOWN,93627.27,,3,YES,NO,YES,YES,YES
ID13507,42,FEMALE,TOWN,50260.67,YES,4,NO,NO,NO,YES,NO
ID13508,75,FEMALE,INNER_CITY,43353.51,NO,,YES,YES,NO,,NO
ID13509,19,MALE,RURAL,,,5,YES,YES,NO,,NO
ID13510,24,MALE,SUBURBAN,50062.41,NO,1,NO,YES,NO,YES,NO
ID13511,39,FEMALE,SUBURBAN,,,3,NO,YES,YES,YES,YES
ID13512,67,MALE,TOWN,97012.15,NO,1,NO,YES,YES,YES,NO
ID13513,63,MALE,SUBURBAN,66870.48,YES,,NO,NO,YES,YES,NO
ID13514,55,MALE,INNER_CITY,43949.84,,3,YES,YES,YES,YES,YES
ID13515,18,MALE,TOWN,89339.79,YES,1,YES,NO,YES,NO,YES
ID13516,57,FEMALE,RURAL,39037.21,,5,YES,NO,NO,,YES
ID13517,43,MALE,RURAL,,,1,YES,NO,YES,,NO
ID13518,47,FEMALE,TOWN,6591.62,,,NO,YES,YES,YES,YES
ID13519,24,MALE,SUBURBAN,,,,YES,YES,YES,,YES
ID13520,56,MALE,RURAL,68966.21,NO,2,NO,YES,YES,,YES
ID13521,31,MALE,RURAL,6840.69,YES,,NO,YES,YES,NO,YES
ID13522,50,FEMALE,RURAL,,NO,,YES,NO,NO,,NO
ID13523,63,FEMALE,TOWN,72360.89,NO,5,NO,NO,YES,,YES
ID13524,29,MALE,SUBURBAN,45336.99,NO,5,NO,YES,YES,YES,YES
ID13525,50,MALE,INNER_CITY,33404.93,YES,,NO,YES,YES,YES,YES
ID13526,43,MALE,INNER_CITY,,NO,2,NO,YES,NO,YES,NO
ID13527,69,FEMALE,INNER_CITY,11094.7,NO,1,NO,NO,YES,,NO
ID13528,59,FEMALE,TOWN,53781.18,,5,NO,YES,NO,NO,NO
ID13529,70,FEMALE,SUBURBAN,82876.99,YES,4,NO,NO,YES,YES,NO
ID13530,74,MALE,SUBURBAN,47433.68,,2,NO,NO,YES,YES,YES
ID13531,41,MALE,SUBURBAN,41948.7,NO,,YES,YES,YES,YES,NO
ID13532,40,FEMALE,INNER_CITY,9515.6,YES,,NO,NO,YES,YES,NO
ID13533,27,FEMALE,SUBURBAN,28314.49,,,NO,NO,YES,,YES
ID13534,49,MALE,RURAL,,,4,YES,NO,NO,,YES
