customer_id,Date,Description,Deposits,Withdrawls,Balance
ID13500,05-Feb-2026,Charge,0.00,363.02,"34,844.55"
ID13500,01-Feb-2026,Transfer,"1,590.03",0.00,"42,717.68"
ID13500,30-Jan-2026,ATM Withdrawal,0.00,504.73,"96,590.77"
ID13500,14-Jan-2026,Direct Deposit,"4,160.17",0.00,"53,144.87"
ID13500,14-Feb-2026,Reversal,578.12,0.00,"18,985.72"
ID13500,10-Mar-2026,Reversal,317.17,0.00,"24,176.25"
ID13500,09-Jan-2026,Reversal,"1,865.90",0.00,"59,380.30"
ID13500,04-Mar-2026,Transfer,550.94,0.00,"28,774.19"
ID13500,30-Jan-2026,Debit Card,0.00,906.90,"30,066.10"
ID13500,11-Feb-2026,Reversal,706.48,0.00,"86,043.26"
ID13500,03-Feb-2026,Charge,0.00,465.94,"36,251.79"
ID13500,20-Mar-2026,Debit Card,0.00,935.60,"88,154.91"
ID13500,28-Jan-2026,Charge,0.00,329.87,"20,465.18"
ID13500,14-Mar-2026,Reversal,0.00,459.47,"20,665.49"
ID13500,08-Mar-2026,Transfer,0.00,"1,273.88","93,547.46"
ID13500,18-Feb-2026,Debit Card,0.00,112.42,"20,628.98"
ID13500,04-Jan-2026,Debit Card,0.00,613.20,"31,024.67"
ID13500,05-Jan-2026,Charge,0.00,803.76,"36,355.54"
ID13500,19-Mar-2026,Debit Card,0.00,751.20,"22,053.09"
ID13500,09-Jan-2026,Transfer,"1,272.45",0.00,"10,546.11"
ID13501,28-Mar-2026,Payment,284.34,0.00,"95,170.24"
ID13501,21-Mar-2026,Transfer,0.00,"1,102.87","90,315.55"
ID13501,24-Mar-2026,Transfer,"1,983.14",0.00,"80,580.54"
ID13501,28-Jan-2026,ATM Withdrawal,0.00,972.05,"1,981.55"
ID13501,19-Jan-2026,Payment,"1,397.46",0.00,"99,175.60"
ID13501,01-Feb-2026,ATM Withdrawal,0.00,867.51,"21,421.67"
ID13501,19-Jan-2026,Direct Deposit,"2,311.12",0.00,"8,415.05"
ID13501,30-Mar-2026,Payment,0.00,"1,452.35","99,155.84"
ID13501,09-Feb-2026,Interest,260.73,0.00,"45,301.14"
ID13501,20-Jan-2026,Debit Card,0.00,76.32,"69,892.64"
ID13501,21-Mar-2026,ATM Withdrawal,0.00,54.81,"48,958.09"
ID13501,28-Jan-2026,Direct Deposit,"1,484.28",0.00,"89,857.87"
ID13501,25-Mar-2026,Transfer,0.00,"1,275.79","21,807.95"
ID13501,05-Mar-2026,Reversal,0.00,172.90,"97,091.23"
ID13501,01-Feb-2026,Payment,0.00,984.06,"44,722.22"
ID13501,17-Feb-2026,Transfer,0.00,"1,449.08","2,642.26"
ID13501,28-Mar-2026,Charge,0.00,894.47,"59,119.32"
ID13501,18-Mar-2026,Reversal,0.00,998.60,"90,417.22"
ID13501,18-Jan-2026,Reversal,0.00,"1,081.88","79,675.69"
ID13501,20-Jan-2026,Charge,0.00,651.42,"84,224.37"
ID13502,10-Mar-2026,Reversal,0.00,"1,460.35","33,213.48"
