_id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID13500,61,FEMALE,SUBURBAN,41672.97,,,YES,YES,YES,YES,NO
ID13501,24,MALE,TOWN,16912.35,YES,1,YES,YES,YES,,NO
ID13502,54,FEMALE,RURAL,87391.44,,3,NO,NO,NO,NO,NO
ID13503,21,FEMALE,SUBURBAN,,NO,,NO,YES,NO,YES,YES
ID13504,67,MALE,TOWN,32375.89,NO,,YES,NO,YES,NO,YES
ID13505,71,FEMALE,INNER_CITY,96512.37,,5,YES,NO,YES,NO,YES
ID13506,42,MALE,TOWN,23171.18,,3,NO,NO,NO,YES,NO
ID13507,42,MALE,INNER_CITY,50077.98,NO,5,NO,YES,NO,NO,NO
ID13508,55,MALE,SUBURBAN,80908.12,NO,0,YES,YES,NO,,NO
ID13509,56,MALE,TOWN,74303.46,,0,YES,NO,YES,NO,YES
ID13510,45,MALE,SUBURBAN,84153.37,,4,YES,YES,NO,,NO
ID13511,28,MALE,TOWN,10956.37,YES,4,YES,NO,NO,YES,NO
ID13512,25,FEMALE,TOWN,29768.52,NO,0,NO,NO,YES,YES,YES
ID13513,49,FEMALE,TOWN,97280.12,,1,YES,NO,YES,YES,YES
ID13514,74,MALE,TOWN,63867.55,,0,YES,YES,YES,,NO
ID13515,48,MALE,TOWN,36648.3,,3,NO,YES,YES,YES,NO
ID13516,74,MALE,SUBURBAN,9059.61,,4,YES,NO,YES,NO,NO
ID13517,47,FEMALE,SUBURBAN,15045.73,,5,YES,NO,YES,,YES
ID13518,45,MALE,INNER_CITY,62771.12,NO,,NO,YES,YES,,YES
ID13519,40,MALE,INNER_CITY,,YES,,NO,YES,NO,,YES
ID13520,68,MALE,SUBURBAN,66779.51,,,YES,NO,NO,YES,YES
ID13521,19,FEMALE,SUBURBAN,50309.52,,5,YES,NO,YES,,NO
ID13522,33,MALE,TOWN,7823.14,,2,NO,YES,NO,,YES
ID13523,27,MALE,INNER_CITY,83476.06,NO,2,YES,YES,YES,NO,NO
ID13524,23,FEMALE,SUBURBAN,50521.25,,4,NO,NO,NO,YES,NO
ID13525,38,FEMALE,RURAL,9781.82,YES,1,NO,YES,NO,,YES
ID13526,75,FEMALE,RURAL,,YES,2,NO,NO,NO,NO,YES
ID13527,20,FEMALE,TOWN,56314.36,YES,4,NO,NO,YES,NO,YES
ID13528,45,MALE,INNER_CITY,64686.43,,5,NO,YES,YES,,YES
ID13529,43,FEMALE,RURAL,7823.79,,,NO,YES,YES,YES,YES
