customer_id,Date,Description,Deposits,Withdrawls,Balance
ID13500,30-Mar-2026,ATM Withdrawal,0.00,795.84,"95,685.36"
ID13500,14-Jan-2026,Payment,0.00,247.50,"41,872.00"
ID13500,08-Jan-2026,Transfer,0.00,133.63,"95,969.21"
ID13500,05-Jan-2026,Payment,0.00,619.97,"3,689.75"
ID13500,11-Feb-2026,ATM Withdrawal,0.00,139.50,"23,656.45"
ID13500,13-Jan-2026,ATM Withdrawal,0.00,83.31,"80,133.09"
ID13500,21-Jan-2026,Interest,237.16,0.00,"43,985.50"
ID13500,25-Mar-2026,Payment,0.00,759.42,"84,458.41"
ID13500,16-Jan-2026,Reversal,0.00,"1,307.43","57,306.10"
ID13500,25-Mar-2026,Reversal,0.00,510.25,"99,966.21"
ID13500,19-Feb-2026,ATM Withdrawal,0.00,781.38,"83,656.68"
ID13500,02-Feb-2026,Charge,0.00,122.83,"8,559.16"
ID13500,23-Mar-2026,Interest,147.13,0.00,"87,840.03"
ID13500,22-Jan-2026,Direct Deposit,"3,774.30",0.00,"32,670.43"
ID13500,29-Jan-2026,Payment,885.54,0.00,"55,826.70"
ID13500,23-Jan-2026,Payment,0.00,"1,177.07","70,101.42"
ID13500,16-Jan-2026,Charge,0.00,266.05,"83,151.56"
ID13500,23-Jan-2026,Transfer,760.95,0.00,"5,567.73"
ID13500,29-Jan-2026,ATM Withdrawal,0.00,635.97,"25,705.21"
ID13500,01-Feb-2026,Direct Deposit,"4,718.62",0.00,"59,458.31"
ID13501,14-Mar-2026,ATM Withdrawal,0.00,788.35,"28,205.79"
ID13501,26-Feb-2026,Reversal,0.00,775.15,"90,475.29"
ID13501,25-Jan-2026,Interest,433.29,0.00,"22,399.78"
ID13501,16-Mar-2026,Charge,0.00,247.42,"61,768.63"
ID13501,05-Jan-2026,Direct Deposit,"4,946.70",0.00,"73,353.19"
ID13501,05-Mar-2026,Direct Deposit,"2,283.94",0.00,"24,037.89"
ID13501,02-Apr-2026,Charge,0.00,714.25,"77,644.32"
ID13501,13-Mar-2026,Charge,0.00,989.69,"34,881.08"
ID13501,01-Mar-2026,Transfer,0.00,895.34,"15,569.74"
ID13501,04-Jan-2026,Transfer,"1,521.48",0.00,"89,050.44"
ID13501,29-Jan-2026,Transfer,549.38,0.00,"49,790.52"
ID13501,10-Mar-2026,Transfer,0.00,67.76,"53,933.10"
ID13501,25-Jan-2026,Direct Deposit,"1,416.39",0.00,"45,877.24"
ID13501,13-Jan-2026,Direct Deposit,"3,215.84",0.00,"97,757.62"
ID13501,20-Mar-2026,Reversal,0.00,"1,321.81","92,253.58"
ID13501,04-Jan-2026,Debit Card,0.00,720.73,"49,338.99"
ID13501,01-Feb-2026,Charge,0.00,820.51,"12,101.88"
ID13501,22-Jan-2026,Transfer,0.00,"1,249.16","81,728.02"
ID13501,05-Mar-2026,Charge,0.00,78.92,"5,827.75"
ID13501,14-Jan-2026,Direct Deposit,627.78,0.00,"83,557.92"
ID13502,19-Jan-2026,ATM Withdrawal,0.00,998.48,"3,840.53"
ID13502,21-Jan-2026,Payment,452.67,0.00,"49,636.44"
ID13502,15-Jan-2026,ATM Withdrawal,0.00,993.15,"24,030.40"
ID13502,06-Mar-2026,Transfer,0.00,757.80,"22,311.30"
ID13502,09-Jan-2026,Direct Deposit,"4,873.86",0.00,"22,685.38"
ID13502,04-Jan-2026,ATM Withdrawal,0.00,705.36,"24,889.62"
ID13502,22-Jan-2026,Payment,534.27,0.00,"48,843.48"
ID13502,04-Feb-2026,Debit Card,0.00,36.35,"50,980.95"
ID13502,03-Feb-2026,Debit Card,0.00,131.79,"35,354.26"
ID13502,28-Feb-2026,Charge,0.00,445.40,"80,009.72"
ID13502,26-Mar-2026,Interest,397.49,0.00,"52,431.18"
ID13502,17-Mar-2026,ATM Withdrawal,0.00,103.38,"35,762.53"
ID13502,20-Jan-2026,Debit Card,0.00,810.81,"77,202.49"
ID13502,31-Jan-2026,Interest,107.39,0.00,"77,103.09"
ID13502,11-Jan-2026,Debit Card,0.00,795.66,"83,875.17"
ID13502,07-Mar-2026,ATM Withdrawal,0.00,432.65,"8,960.48"
ID13502,13-Mar-2026,ATM Withdrawal,0.00,334.88,"88,049.71"
ID13502,11-Feb-2026,Debit Card,0.00,184.08,"99,223.62"
ID13502,13-Jan-2026,Transfer,"1,361.89",0.00,"95,985.60"
ID13502,11-Mar-2026,Debit Card,0.00,908.38,"76,902.93"
ID13503,27-Mar-2026,Debit Card,0.00,331.23,"38,328.93"
ID13503,05-Feb-2026,Charge,0.00,649.84,"65,129.03"
ID13503,17-Feb-2026,Reversal,0.00,"1,135.00","25,981.89"
ID13503,14-Mar-2026,Charge,0.00,357.24,"6,442.14"
ID13503,05-Jan-2026,Reversal,0.00,"1,105.93","7,551.28"
ID13503,29-Mar-2026,Interest,402.32,0.00,"32,775.06"
ID13503,23-Jan-2026,Debit Card,0.00,254.13,"89,788.06"
ID13503,15-Mar-2026,Direct Deposit,"1,184.31",0.00,"49,654.78"
ID13503,07-Jan-2026,Debit Card,0.00,672.11,"70,266.28"
ID13503,18-Jan-2026,Interest,449.81,0.00,"26,741.82"
ID13503,12-Feb-2026,Charge,0.00,451.27,"42,332.15"
ID13503,02-Feb-2026,Debit Card,0.00,231.58,"82,553.40"
ID13503,17-Jan-2026,Reversal,0.00,"1,450.44","49,678.34"
ID13503,24-Mar-2026,ATM Withdrawal,0.00,768.07,"21,783.73"
ID13503,11-Feb-2026,Charge,0.00,281.61,"46,799.42"
ID13503,16-Mar-2026,Transfer,708.62,0.00,"96,983.15"
ID13503,09-Jan-2026,ATM Withdrawal,0.00,470.10,"86,530.15"
ID13503,07-Mar-2026,Payment,0.00,893.67,"62,907.24"
ID13503,02-Apr-2026,Payment,0.00,325.59,"74,189.74"
ID13503,22-Mar-2026,Charge,0.00,270.17,"13,964.08"
ID13504,05-Feb-2026,Reversal,0.00,"1,479.05","46,673.96"
ID13504,17-Feb-2026,Transfer,0.00,921.82,"13,228.70"
ID13504,28-Jan-2026,Charge,0.00,282.16,"33,746.65"
ID13504,19-Mar-2026,Transfer,0.00,677.65,"52,293.18"
ID13504,22-Feb-2026,Interest,382.41,0.00,"25,762.51"
ID13504,27-Jan-2026,Direct Deposit,"4,451.86",0.00,"22,241.80"
ID13504,11-Feb-2026,Charge,0.00,670.08,"73,125.67"
ID13504,21-Mar-2026,Direct Deposit,"3,686.70",0.00,"89,049.82"
ID13504,27-Mar-2026,Payment,933.58,0.00,"48,571.52"
ID13504,02-Mar-2026,Charge,0.00,399.64,"61,134.75"
ID13504,12-Jan-2026,Interest,124.18,0.00,"42,660.48"
ID13504,10-Mar-2026,Direct Deposit,"4,575.16",0.00,"6,952.55"
ID13504,24-Feb-2026,Reversal,522.27,0.00,"26,959.97"
ID13504,21-Feb-2026,Payment,0.00,415.65,"27,249.34"
ID13504,06-Feb-2026,Direct Deposit,"2,833.67",0.00,"91,520.46"
ID13504,17-Mar-2026,Transfer,0.00,849.07,"67,744.44"
ID13504,02-Apr-2026,Interest,162.94,0.00,"18,941.16"
ID13504,19-Mar-2026,Interest,325.45,0.00,"78,862.11"
ID13504,13-Jan-2026,Payment,0.00,337.49,"66,280.02"
ID13504,23-Mar-2026,Payment,0.00,594.05,"50,786.65"
ID13505,21-Feb-2026,Payment,199.89,0.00,"29,088.31"
ID13505,25-Mar-2026,Direct Deposit,"4,809.62",0.00,"68,626.45"
ID13505,04-Jan-2026,Reversal,212.86,0.00,"57,108.35"
ID13505,18-Jan-2026,Direct Deposit,"3,585.22",0.00,"52,565.17"
ID13505,05-Mar-2026,Payment,138.22,0.00,"74,013.54"
ID13505,05-Jan-2026,Payment,"1,324.47",0.00,"35,950.81"
ID13505,22-Jan-2026,Transfer,795.68,0.00,"27,401.61"
ID13505,26-Mar-2026,Direct Deposit,"2,884.76",0.00,"32,792.01"
ID13505,30-Jan-2026,Transfer,"1,073.27",0.00,"26,786.44"
ID13505,27-Jan-2026,Interest,454.06,0.00,"90,844.82"
ID13505,26-Feb-2026,ATM Withdrawal,0.00,58.33,"40,449.70"
ID13505,21-Feb-2026,Interest,348.63,0.00,"24,327.59"
ID13505,30-Jan-2026,Payment,0.00,"1,144.75","58,940.76"
ID13505,30-Mar-2026,Interest,218.54,0.00,"48,513.44"
ID13505,03-Mar-2026,Payment,780.16,0.00,"39,299.12"
ID13505,17-Jan-2026,Transfer,0.00,"1,460.39","54,926.05"
ID13505,20-Mar-2026,Payment,"1,161.29",0.00,"8,394.01"
ID13505,24-Mar-2026,Transfer,679.60,0.00,"56,209.88"
ID13505,19-Mar-2026,Transfer,0.00,815.56,"10,173.19"
ID13505,03-Apr-2026,Charge,0.00,768.10,"50,957.05"
ID13506,29-Mar-2026,Direct Deposit,"1,381.49",0.00,"61,153.73"
ID13506,19-Feb-2026,Payment,0.00,839.77,"67,537.93"
ID13506,15-Jan-2026,ATM Withdrawal,0.00,534.45,"56,297.78"
ID13506,22-Feb-2026,Transfer,0.00,146.22,"30,302.06"
ID13506,19-Mar-2026,Transfer,364.04,0.00,"99,123.22"
ID13506,23-Feb-2026,Transfer,0.00,"1,059.58","71,807.03"
ID13506,28-Jan-2026,Transfer,"1,207.75",0.00,"70,655.52"
