customer_id,Date,Description,Deposits,Withdrawls,Balance
ID12203,20-Aug-2020,Interest,00.00,"4,893.98","39,151.80"
ID12536,20-Aug-2020,Debit Card,00.00,"5,593.11","33,558.69"
ID12371,20-Aug-2020,Reversal,00.00,"8,389.67","25,169.02"
ID12207,20-Aug-2020,Reversal,343.29,00.00,"25,512.31"
ID12172,21-Aug-2020,RTGS,00.00,"4,252.05","21,260.26"
ID12121,21-Aug-2020,Miscellaneous,"1,103.00",00.00,"22,363.26"
ID12222,21-Aug-2020,Tax,361.96,00.00,"22,725.22"
ID12567,21-Aug-2020,Interest,"31,760.78",00.00,"54,486.00"
ID12315,21-Aug-2020,Tax,"12,340.20",00.00,"66,826.20"
ID12431,21-Aug-2020,Reversal,"4,060.41",00.00,"70,886.61"
ID12559,21-Aug-2020,Cash,00.00,"35,443.31","35,443.30"
ID12188,21-Aug-2020,ATM,00.00,"5,907.22","29,536.08"
ID12473,21-Aug-2020,Transfer,"12,770.01",00.00,"42,306.09"
ID12200,21-Aug-2020,ATM,"2,349.65",00.00,"44,655.74"
ID12231,21-Aug-2020,Interest,329.60,00.00,"44,985.34"
ID12409,21-Aug-2020,IMPS,00.00,"22,492.67","22,492.67"
ID12444,21-Aug-2020,ATM,"25,794.30",00.00,"48,286.97"
ID12592,21-Aug-2020,Cheque,483.00,00.00,"48,769.97"
ID12514,21-Aug-2020,Miscellaneous,00.00,"48,769.97",00.00
ID12486,21-Aug-2020,Tax,"1,110.00",00.00,"1,110.00"
ID12292,21-Aug-2020,Bill,00.00,158.57,951.43
ID12377,21-Aug-2020,Miscellaneous,00.00,118.93,832.50
ID12261,21-Aug-2020,Bill,00.00,832.50,00.00
ID12560,21-Aug-2020,Debit Card,"32,042.47",00.00,"32,042.47"
ID12414,21-Aug-2020,Bill,00.00,"8,010.62","24,031.85"
ID12122,21-Aug-2020,Cash,49.32,00.00,"24,081.17"
ID12353,21-Aug-2020,Cash,"238,015.00",00.00,"262,096.17"
ID12661,21-Aug-2020,NEFT,00.00,"87,365.39","174,730.78"
ID12575,21-Aug-2020,ATM,00.00,"174,730.78",00.00
ID12159,21-Aug-2020,RTGS,306.00,00.00,306.00
ID12611,21-Aug-2020,Transfer,"2,118.30",00.00,"2,424.30"
ID12576,21-Aug-2020,Reversal,"19,870.30",00.00,"22,294.60"
ID12290,21-Aug-2020,Cash,00.00,"4,458.92","17,835.68"
ID12663,21-Aug-2020,Transfer,"1,998,357.50",00.00,"2,016,193.18"
ID12667,21-Aug-2020,ATM,"17,063.58",00.00,"2,033,256.76"
ID12344,21-Aug-2020,Cash,00.00,"508,314.19","1,524,942.57"
ID12605,21-Aug-2020,Reversal,00.00,"190,617.82","1,334,324.75"
ID12231,21-Aug-2020,RTGS,00.00,"444,774.92","889,549.83"
ID12585,21-Aug-2020,Reversal,62.55,00.00,"889,612.38"
